7月 03 19:46:38 localhost rasdaemon[1046]: Can't get traces from ras:extlog_mem_event
7月 03 19:46:47 win000k10424 lightdm[2576]: [kysdk-conf2] invalied schema id
7月 03 19:46:47 win000k10424 lightdm[2576]: [kysdk-conf2] invalied schema id
7月 03 19:46:48 win000k10424 ukui-login-sound[2610]: control hw:0 open error: No such file or directory
7月 03 19:46:48 win000k10424 ukui-login-sound[2610]: file convert error, err:32512.
7月 03 19:46:49 win000k10424 systemd[2634]: Failed to start Portal service (GTK/GNOME implementation).
7月 03 19:46:51 win000k10424 systemd[2634]: Failed to start KScreen.
7月 03 19:47:07 win000k10424 lightdm[2947]: gkr-pam: unable to locate daemon control file
7月 03 19:58:50 win000k10424 python3[7944]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 03 19:59:11 win000k10424 python3[8039]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 03 19:59:58 win000k10424 PackageKit[8457]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 03 20:04:47 win000k10424 python3[9862]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 03 21:58:01 win000k10424 python3[31968]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 03 23:16:41 win000k10424 python3[46945]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 04 01:13:11 win000k10424 python3[69080]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 04 03:12:41 win000k10424 python3[91789]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 04 04:45:11 win000k10424 python3[109398]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 04 06:39:11 win000k10424 python3[131053]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 04 08:07:08 win000k10424 python3[147746]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 04 10:04:36 win000k10424 python3[170039]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 04 11:17:11 win000k10424 python3[183815]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 04 12:48:11 win000k10424 python3[201617]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 04 14:29:11 win000k10424 python3[220812]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 04 16:06:31 win000k10424 python3[239315]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 04 17:56:11 win000k10424 python3[260146]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 04 18:58:00 win000k10424 python3[271871]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 04 20:49:51 win000k10424 python3[293097]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 04 22:46:11 win000k10424 python3[315193]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 05 00:18:12 win000k10424 python3[332646]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 05 01:48:51 win000k10424 python3[349857]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 05 03:46:21 win000k10424 python3[372224]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 05 05:38:48 win000k10424 python3[393585]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 05 06:52:51 win000k10424 python3[407650]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 05 08:06:01 win000k10424 python3[421542]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 05 09:16:36 win000k10424 python3[434949]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 05 10:46:11 win000k10424 python3[451953]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 05 12:45:11 win000k10424 python3[474484]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 05 13:45:41 win000k10424 python3[486499]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 05 15:22:01 win000k10424 python3[504773]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 05 16:48:41 win000k10424 python3[521204]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 05 18:44:17 win000k10424 python3[543124]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 05 20:06:58 win000k10424 python3[558842]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 05 21:40:41 win000k10424 python3[576623]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 05 22:46:11 win000k10424 python3[589061]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 06 00:42:11 win000k10424 python3[611086]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 06 02:30:31 win000k10424 python3[631649]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 06 04:08:51 win000k10424 python3[650331]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 06 05:39:11 win000k10424 python3[667493]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 06 07:18:11 win000k10424 python3[686304]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 06 08:57:11 win000k10424 python3[705057]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 06 10:34:38 win000k10424 python3[723574]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 06 11:50:16 win000k10424 python3[737959]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 06 12:57:41 win000k10424 python3[751276]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 06 14:41:41 win000k10424 python3[771007]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 06 16:11:51 win000k10424 python3[788115]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 06 18:01:41 win000k10424 python3[808964]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 06 19:41:31 win000k10424 python3[827855]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 06 21:25:01 win000k10424 python3[847508]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 06 22:53:41 win000k10424 python3[864308]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 07 00:42:39 win000k10424 python3[885019]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 07 01:59:41 win000k10424 python3[899620]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 07 03:08:51 win000k10424 python3[912749]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 07 04:21:51 win000k10424 python3[926613]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 07 05:54:41 win000k10424 python3[944233]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 07 07:17:55 win000k10424 python3[960007]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 07 08:22:51 win000k10424 python3[972342]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 07 09:50:31 win000k10424 python3[988956]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 07 10:30:44 win000k10424 python3[997316]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 07 10:30:59 win000k10424 python3[997373]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 07 10:31:06 win000k10424 PackageKit[997469]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 07 10:34:36 win000k10424 python3[998199]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 07 10:56:11 win000k10424 python3[1002946]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
7月 07 12:11:41 win000k10424 python3[1036275]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
