2026-07-03T19:46:38+08:00 localhost rasdaemon[1046]: Can't get traces from ras:extlog_mem_event
2026-07-03T19:46:47+08:00 win000k10424 lightdm[2576]: [kysdk-conf2] invalied schema id
2026-07-03T19:46:47+08:00 win000k10424 lightdm[2576]: [kysdk-conf2] invalied schema id
2026-07-03T19:46:48+08:00 win000k10424 ukui-login-sound[2610]: control hw:0 open error: No such file or directory
2026-07-03T19:46:48+08:00 win000k10424 ukui-login-sound[2610]: file convert error, err:32512.
2026-07-03T19:46:49+08:00 win000k10424 systemd[2634]: Failed to start Portal service (GTK/GNOME implementation).
2026-07-03T19:46:51+08:00 win000k10424 systemd[2634]: Failed to start KScreen.
2026-07-03T19:47:07+08:00 win000k10424 lightdm[2947]: gkr-pam: unable to locate daemon control file
2026-07-03T19:58:50+08:00 win000k10424 python3[7944]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-03T19:59:11+08:00 win000k10424 python3[8039]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-03T19:59:58+08:00 win000k10424 PackageKit[8457]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-03T20:04:47+08:00 win000k10424 python3[9862]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-03T21:58:01+08:00 win000k10424 python3[31968]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-03T23:16:41+08:00 win000k10424 python3[46945]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-04T01:13:11+08:00 win000k10424 python3[69080]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-04T03:12:41+08:00 win000k10424 python3[91789]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-04T04:45:11+08:00 win000k10424 python3[109398]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-04T06:39:11+08:00 win000k10424 python3[131053]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-04T08:07:08+08:00 win000k10424 python3[147746]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-04T10:04:36+08:00 win000k10424 python3[170039]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
