    PID    PPID USER     %CPU %MEM STAT COMMAND
1062294       1 vmuser    164  1.8 Sl+  java
1062575 1059754 vmuser    3.2  0.0 S+   curl
   5957    5484 vmuser    0.3  1.9 Sl   lbrowser
   3633    3587 vmuser    0.3  2.0 Sl   kwin_x11
   5457       1 vmuser    0.2  2.1 Sl   lbrowser
   5512    5457 vmuser    0.2  0.8 Sl   lbrowser
   2588    2576 root      0.1  1.3 Ssl+ Xorg
   4042    3363 vmuser    0.1  1.3 Sl   kylin-calendar
   4081    3363 vmuser    0.1  0.5 Sl   ukui-search-ser
   3855    2618 vmuser    0.1  0.1 S    x11vnc
1059754 1021320 vmuser    0.0  0.0 S+   bash
   2619       1 root      0.0  0.0 Ss   bash
   3580    3344 vmuser    0.0  0.0 Ssl  dconf-service
   5511    5477 vmuser    0.0  1.2 Sl   lbrowser
   3636    3363 vmuser    0.0  1.0 Sl   ukui-settings-d
   4045    3363 vmuser    0.0  0.9 Sl   kylin-nm
   1320       1 root      0.0  0.2 Ssl  tuned
   3484    3344 vmuser    0.0  0.0 Ss   dbus-daemon
   3639    3363 vmuser    0.0  2.3 Sl   ukui-panel
1020274       1 vmuser    0.0  0.6 Sl   pluma
      1       0 root      0.0  0.1 Ss   systemd
   4063    3363 vmuser    0.0  0.5 Sl   fcitx5
   3640    3363 vmuser    0.0  1.4 Sl   peony-qt-deskto
   3363    2947 vmuser    0.0  0.3 Ssl  ukui-session
   3587    3363 vmuser    0.0  0.4 Sl   ukuismserver
     34       2 root      0.0  0.0 SN   khugepaged
   5329       1 vmuser    0.0  0.6 Sl   mate-terminal
   4082    3363 vmuser    0.0  1.6 Sl   ukui-search
   3792    3344 vmuser    0.0  0.5 Sl   ukui-search-app
   1050       1 root      0.0  0.0 Ssl  rngd
   4083    3363 vmuser    0.0  1.4 Sl   ukui-sidebar
   1044       1 root      0.0  0.0 Ssl  irqbalance
   4085    3363 vmuser    0.0  0.9 Sl   ukui-volume-con
   4073    3363 vmuser    0.0  1.3 Sl   ukui-menu
   1031       1 dbus      0.0  0.0 Ss   dbus-daemon
   4071    3363 vmuser    0.0  1.0 Sl   ukui-bluetooth
1058005       2 root      0.0  0.0 I    kworker/0:30-cgroup_pidlist_destroy
   1433       1 root      0.0  0.0 Ssl  rsyslogd
   4054    3363 vmuser    0.0  0.8 Sl   kylin-vpn
   4044    3363 vmuser    0.0  0.8 Sl   kylin-device-da
   4064    3363 vmuser    0.0  0.5 Sl   polkit-ukui-aut
   4049    3363 vmuser    0.0  1.2 Sl   user-guide-daem
   4080    3363 vmuser    0.0  0.5 Sl   ukui-search-ser
   4078    3363 vmuser    0.0  0.4 Sl   ukui-powermanag
   3638    3363 vmuser    0.0  0.4 Sl   xembed-sni-prox
   3782    3344 vmuser    0.0  0.3 Ssl  kscreen_backend
   3603    3344 vmuser    0.0  0.0 Sl   at-spi2-registr
    681       1 root      0.0  0.2 Ss   systemd-journal
1026204       2 root      0.0  0.0 I    kworker/u4:2-events_unbound
     17       2 root      0.0  0.0 I    rcu_sched
   1150       1 root      0.0  0.3 Ssl  ksaf-label-mana
 960031       2 root      0.0  0.0 I    kworker/u4:3-xfs-blockgc/dm-0
